1,100,1,2023-06-05
2,98,2,2023-06-10
3,101,3,2023-06-15
4,189,4,2023-06-20
5,189,5,2023-06-25
6,99,6,2023-06-30
7,190,7,2023-07-05
8,159,8,2023-07-10
9,158,9,2023-07-15
10,162,10,2023-07-20
11,94,11,2023-07-25
12,27,12,2023-06-02
13,122,13,2023-06-07
14,123,14,2023-06-12
15,116,15,2023-06-17
16,155,16,2023-06-22
17,154,17,2023-06-27
18,175,18,2023-07-02
19,90,19,2023-07-07
20,102,20,2023-07-12
21,191,21,2023-07-17
22,149,22,2023-07-22
23,180,23,2023-07-27
24,25,24,2023-06-04
25,6,25,2023-06-09
26,79,26,2023-06-14
27,35,27,2023-06-19
28,64,28,2023-06-24
29,32,29,2023-06-29
30,31,30,2023-07-04
31,180,31,2023-07-09
32,163,32,2023-07-14
33,166,33,2023-07-19
34,13,34,2023-07-24
35,154,35,2023-07-29
36,22,36,2023-06-03
37,22,37,2023-06-08
38,169,38,2023-06-13
39,177,39,2023-06-18
40,98,40,2023-06-23
41,90,40,2023-06-23
42,149,40,2023-06-24
43,154,40,2023-06-24
44,101,41,2023-07-18
45,27,41,2023-07-18
46,31,41,2023-07-19
47,162,41,2023-07-19
48,158,42,2023-06-11
49,25,42,2023-06-11
50,175,42,2023-06-11
51,13,42,2023-06-12
52,177,42,2023-06-12
53,163,43,2023-06-26
54,123,43,2023-06-26
55,180,43,2023-06-27
56,191,43,2023-06-27
57,116,43,2023-06-28
58,155,44,2023-07-26
59,169,44,2023-07-27
60,79,44,2023-07-27
61,90,44,2023-07-27
62,98,45,2023-06-16
63,99,45,2023-06-17
64,154,45,2023-06-18
65,27,45,2023-06-19
66,32,45,2023-06-20
67,22,46,2023-07-01
68,31,46,2023-07-02
69,122,46,2023-07-03
70,64,46,2023-07-04
71,166,46,2023-07-05
72,64,47,2023-06-01
73,191,47,2023-06-02
74,6,47,2023-06-03
75,27,47,2023-06-03
76,32,47,2023-06-04
77,98,48,2023-07-06
78,158,48,2023-07-07
79,25,48,2023-07-08
80,154,48,2023-07-09
81,79,48,2023-07-10
82,98,49,2023-07-29
83,149,49,2023-07-29
84,164,49,2023-07-30
85,31,49,2023-07-30
86,27,49,2023-07-31
87,100,50,2023-06-01
88,190,50,2023-06-02
89,189,50,2023-06-03
